date,trip
1/1/2015,7
1/2/2015,12
1/3/2015,9
1/4/2015,8
1/5/2015,29
1/6/2015,16
1/7/2015,17
1/8/2015,11
1/9/2015,14
1/10/2015,12
1/11/2015,7
1/12/2015,16
1/13/2015,29
1/14/2015,24
1/15/2015,19
1/16/2015,20
1/17/2015,12
1/18/2015,20
1/19/2015,18
1/20/2015,42
1/21/2015,29
1/22/2015,35
1/23/2015,29
1/24/2015,5
1/25/2015,14
1/26/2015,14
1/28/2015,3
1/29/2015,20
1/30/2015,20
1/31/2015,11
2/1/2015,23
2/2/2015,1
2/3/2015,13
2/4/2015,16
2/5/2015,14
2/6/2015,20
2/7/2015,12
2/8/2015,6
2/11/2015,11
2/12/2015,20
2/13/2015,17
2/14/2015,5
2/16/2015,1
2/17/2015,10
2/18/2015,15
2/19/2015,10
2/20/2015,14
2/21/2015,5
2/22/2015,19
2/23/2015,19
2/24/2015,21
2/25/2015,24
2/26/2015,22
2/27/2015,26
2/28/2015,12
3/1/2015,1
3/2/2015,25
3/3/2015,16
3/4/2015,23
3/5/2015,29
3/6/2015,31
3/7/2015,18
3/8/2015,21
3/9/2015,46
3/10/2015,47
3/11/2015,48
3/12/2015,38
3/13/2015,57
3/14/2015,12
3/15/2015,9
3/16/2015,45
3/17/2015,39
3/18/2015,27
3/19/2015,27
3/20/2015,29
3/21/2015,18
3/22/2015,13
3/23/2015,15
3/24/2015,22
3/25/2015,32
3/26/2015,19
3/27/2015,42
3/28/2015,11
3/29/2015,35
3/30/2015,54
3/31/2015,55
4/1/2015,58
4/2/2015,66
4/3/2015,52
4/4/2015,48
4/5/2015,37
4/6/2015,32
4/7/2015,48
4/8/2015,33
4/9/2015,41
4/10/2015,70
4/11/2015,60
4/12/2015,109
4/13/2015,86
4/14/2015,58
4/15/2015,78
4/16/2015,52
4/17/2015,75
4/18/2015,135
4/19/2015,109
4/20/2015,36
4/21/2015,93
4/22/2015,107
4/23/2015,82
4/24/2015,86
4/25/2015,110
4/26/2015,104
4/27/2015,86
4/28/2015,83
4/29/2015,99
4/30/2015,109
5/1/2015,102
5/2/2015,131
5/3/2015,180
5/4/2015,142
5/5/2015,117
5/6/2015,140
5/7/2015,151
5/8/2015,123
5/9/2015,159
5/10/2015,132
5/11/2015,131
5/12/2015,134
5/13/2015,140
5/14/2015,175
5/15/2015,153
5/16/2015,116
5/17/2015,143
5/18/2015,113
5/19/2015,77
5/20/2015,110
5/21/2015,116
5/22/2015,142
5/23/2015,87
5/24/2015,147
5/25/2015,121
5/26/2015,122
5/27/2015,119
5/28/2015,118
5/29/2015,145
5/30/2015,143
5/31/2015,50
6/1/2015,40
6/2/2015,53
6/3/2015,87
6/4/2015,111
6/5/2015,121
6/6/2015,109
6/7/2015,138
6/8/2015,105
6/9/2015,115
6/10/2015,101
6/11/2015,123
6/12/2015,98
6/13/2015,163
6/14/2015,126
6/15/2015,41
6/16/2015,98
6/17/2015,121
6/18/2015,125
6/19/2015,143
6/20/2015,110
6/21/2015,41
6/22/2015,104
6/23/2015,106
6/24/2015,137
6/25/2015,120
6/26/2015,143
6/27/2015,117
6/28/2015,29
6/29/2015,102
6/30/2015,135
7/1/2015,99
7/2/2015,141
7/3/2015,141
7/4/2015,191
7/5/2015,155
7/6/2015,128
7/7/2015,130
7/8/2015,136
7/9/2015,107
7/10/2015,121
7/11/2015,117
7/12/2015,130
7/13/2015,123
7/14/2015,113
7/15/2015,128
7/16/2015,135
7/17/2015,137
7/18/2015,129
7/19/2015,117
7/20/2015,137
7/21/2015,120
7/22/2015,111
7/23/2015,126
7/24/2015,116
7/25/2015,128
7/26/2015,127
7/27/2015,126
7/28/2015,111
7/29/2015,164
7/30/2015,105
7/31/2015,138
8/1/2015,107
8/2/2015,127
8/3/2015,118
8/4/2015,126
8/5/2015,161
8/6/2015,144
8/7/2015,144
8/8/2015,158
8/9/2015,160
8/10/2015,114
8/11/2015,67
8/12/2015,115
8/13/2015,90
8/14/2015,133
8/15/2015,110
8/16/2015,133
8/17/2015,93
8/18/2015,93
8/19/2015,107
8/20/2015,127
8/21/2015,112
8/22/2015,110
8/23/2015,79
8/24/2015,113
8/25/2015,125
8/26/2015,138
8/27/2015,111
8/28/2015,98
8/29/2015,93
8/30/2015,131
8/31/2015,111
9/1/2015,125
9/2/2015,111
9/3/2015,131
9/4/2015,111
9/5/2015,141
9/6/2015,147
9/7/2015,143
9/8/2015,148
9/9/2015,118
9/10/2015,101
9/11/2015,90
9/12/2015,136
9/13/2015,72
9/14/2015,101
9/15/2015,115
9/16/2015,141
9/17/2015,129
9/18/2015,120
9/19/2015,137
9/20/2015,147
9/21/2015,123
9/22/2015,104
9/23/2015,134
